Name	ID	BioProject	BioSample	run_accession	R1_read_URL	R2_read_URL	study_source
"Lake 239, Jul 2018, 20 m A"	Jul2018_L239_20m	PRJNA664486	SAMN16221791	SRR12676966	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/066/SRR12676966/SRR12676966_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/066/SRR12676966/SRR12676966_2.fastq.gz	this_study
"Lake 304, Jun 2018, 6 m"	Jul2018_L304_06m	PRJNA664486	SAMN16221773	SRR12676967	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/067/SRR12676967/SRR12676967_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/067/SRR12676967/SRR12676967_2.fastq.gz	this_study
"Lake 221, Jun 2018, 5 m"	Jul2018_L221_05m	PRJNA664486	SAMN16221758	SRR12676971	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/071/SRR12676971/SRR12676971_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/071/SRR12676971/SRR12676971_2.fastq.gz	this_study
"Lake 111, Jul 2018, 30 m"	Jul2018_L111_30m	PRJNA664486	SAMN16221752	SRR12676968	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/068/SRR12676968/SRR12676968_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/068/SRR12676968/SRR12676968_2.fastq.gz	unpublished
"Lake 227, Sep 2017, 10 m"	Sep2017_L227_10m	PRJNA664486	SAMN16221733	SRR12676969	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/069/SRR12676969/SRR12676969_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/069/SRR12676969/SRR12676969_2.fastq.gz	this_study
"Lake 227, Sep 2017, 8 m"	Sep2017_L227_08m	PRJNA664486	SAMN16221732	SRR12676970	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/070/SRR12676970/SRR12676970_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/070/SRR12676970/SRR12676970_2.fastq.gz	this_study
"Lake 227, Sep 2017, 6 m"	Sep2017_L227_06m	PRJNA664486	SAMN16221731	SRR12676972	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/072/SRR12676972/SRR12676972_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/072/SRR12676972/SRR12676972_2.fastq.gz	this_study
"Lake 227, Sep 2017, 4 m"	Sep2017_L227_04m	PRJNA664486	SAMN16221729	SRR12676973	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/073/SRR12676973/SRR12676973_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/073/SRR12676973/SRR12676973_2.fastq.gz	this_study
"Lake 227, Sep 2017, 3 m"	Sep2017_L227_03m	PRJNA664486	SAMN16221728	SRR12676974	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/074/SRR12676974/SRR12676974_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/074/SRR12676974/SRR12676974_2.fastq.gz	this_study
"Lake 227, Sep 2017, 1 m"	Sep2017_L227_01m	PRJNA664486	SAMN16221727	SRR12676975	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/075/SRR12676975/SRR12676975_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/075/SRR12676975/SRR12676975_2.fastq.gz	this_study
"Lake 227, 2013, 6 m"	Jun2013_L227_06m	PRJNA518727	SAMN06051861	SRR8517163	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR851/003/SRR8517163/SRR8517163_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR851/003/SRR8517163/SRR8517163_2.fastq.gz	Tsuji_et_al_2020_ISMEJ
"Lake 227, 2013, 8 m"	Jun2013_L227_08m	PRJNA518727	SAMN06051862	SRR8517162	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR851/002/SRR8517162/SRR8517162_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR851/002/SRR8517162/SRR8517162_2.fastq.gz	Tsuji_et_al_2020_ISMEJ
"Lake 227, 2014, 6 m"	Jul2014_L227_06m	PRJNA518727	SAMN06051867	SRR8517161	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR851/001/SRR8517161/SRR8517161_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR851/001/SRR8517161/SRR8517161_2.fastq.gz	Tsuji_et_al_2020_ISMEJ
"Lake 227, 2014, 8 m"	Jul2014_L227_08m	PRJNA518727	SAMN06051868	SRR8517160	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR851/000/SRR8517160/SRR8517160_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR851/000/SRR8517160/SRR8517160_2.fastq.gz	Tsuji_et_al_2020_ISMEJ
"Lake 442, 2011, 16.5 m"	Jun2011_L442_16_5m	PRJNA518727	SAMN06051880	SRR8517159	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR851/009/SRR8517159/SRR8517159_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR851/009/SRR8517159/SRR8517159_2.fastq.gz	Tsuji_et_al_2020_ISMEJ
"Lake 442, 2014, 13 m"	Jul2014_L442_13m	PRJNA518727	SAMN06051881	SRR8517158	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR851/008/SRR8517158/SRR8517158_1.fastq.gz	http://ftp.sra.ebi.ac.uk/vol1/fastq/SRR851/008/SRR8517158/SRR8517158_2.fastq.gz	Tsuji_et_al_2020_ISMEJ
